item,itemSupport,frontItem,frontItemSupport,endItem,endItemSupport,calcSupport
"[""10"",""7131""]",0.151595745,"[""10""]",0.510638298,"[""7131""]",0.271276596,0.296875001
"[""10"",""7131""]",0.151595745,"[""7131""]",0.271276596,"[""10""]",0.510638298,0.55882353
"[""10"",""7151""]",0.159574468,"[""10""]",0.510638298,"[""7151""]",0.311170213,0.3125
"[""10"",""7151""]",0.159574468,"[""7151""]",0.311170213,"[""10""]",0.510638298,0.512820512
"[""10"",""7170""]",0.207446809,"[""10""]",0.510638298,"[""7170""]",0.369680851,0.406250001
"[""10"",""7170""]",0.207446809,"[""7170""]",0.369680851,"[""10""]",0.510638298,0.561151081
"[""10"",""7180""]",0.188829787,"[""10""]",0.510638298,"[""7180""]",0.343085106,0.369791666
"[""10"",""7180""]",0.188829787,"[""7180""]",0.343085106,"[""10""]",0.510638298,0.550387597
"[""10"",""7270""]",0.167553191,"[""10""]",0.510638298,"[""7270""]",0.321808511,0.328124999
"[""10"",""7270""]",0.167553191,"[""7270""]",0.321808511,"[""10""]",0.510638298,0.520661155
"[""11"",""21""]",0.164893617,"[""11""]",0.489361702,"[""21""]",0.164893617,0.336956522
"[""11"",""21""]",0.164893617,"[""21""]",0.164893617,"[""11""]",0.489361702,1
"[""11"",""41""]",0.210106383,"[""11""]",0.489361702,"[""41""]",0.210106383,0.429347826
"[""11"",""41""]",0.210106383,"[""41""]",0.210106383,"[""11""]",0.489361702,1
"[""11"",""22""]",0.199468085,"[""11""]",0.489361702,"[""22""]",0.199468085,0.407608696
"[""11"",""22""]",0.199468085,"[""22""]",0.199468085,"[""11""]",0.489361702,1
"[""11"",""52""]",0.167553191,"[""11""]",0.489361702,"[""52""]",0.167553191,0.342391303
"[""11"",""52""]",0.167553191,"[""52""]",0.167553191,"[""11""]",0.489361702,1
"[""11"",""7151""]",0.151595745,"[""11""]",0.489361702,"[""7151""]",0.311170213,0.309782609
"[""11"",""7151""]",0.151595745,"[""7151""]",0.311170213,"[""11""]",0.489361702,0.487179488
"[""11"",""7170""]",0.162234043,"[""11""]",0.489361702,"[""7170""]",0.369680851,0.33152174
"[""11"",""7170""]",0.162234043,"[""7170""]",0.369680851,"[""11""]",0.489361702,0.438848922
"[""11"",""7180""]",0.154255319,"[""11""]",0.489361702,"[""7180""]",0.343085106,0.315217391
"[""11"",""7180""]",0.154255319,"[""7180""]",0.343085106,"[""11""]",0.489361702,0.449612403
"[""11"",""7270""]",0.154255319,"[""11""]",0.489361702,"[""7270""]",0.321808511,0.315217391
"[""11"",""7270""]",0.154255319,"[""7270""]",0.321808511,"[""11""]",0.489361702,0.479338842
"[""11"",""7330""]",0.151595745,"[""11""]",0.489361702,"[""7330""]",0.151595745,0.309782609
"[""11"",""7330""]",0.151595745,"[""7330""]",0.151595745,"[""11""]",0.489361702,1
"[""11"",""82""]",0.151595745,"[""11""]",0.489361702,"[""82""]",0.151595745,0.309782609
"[""11"",""82""]",0.151595745,"[""82""]",0.151595745,"[""11""]",0.489361702,1
"[""11"",""84""]",0.204787234,"[""11""]",0.489361702,"[""84""]",0.204787234,0.418478261
"[""11"",""84""]",0.204787234,"[""84""]",0.204787234,"[""11""]",0.489361702,1
"[""7210"",""7150""]",0.159574468,"[""7210""]",0.231382979,"[""7150""]",0.247340426,0.689655171
"[""7210"",""7150""]",0.159574468,"[""7150""]",0.247340426,"[""7210""]",0.231382979,0.645161289
"[""7210"",""7170""]",0.191489362,"[""7210""]",0.231382979,"[""7170""]",0.369680851,0.827586207
"[""7210"",""7170""]",0.191489362,"[""7170""]",0.369680851,"[""7210""]",0.231382979,0.517985612
"[""7210"",""7180""]",0.186170213,"[""7210""]",0.231382979,"[""7180""]",0.343085106,0.804597701
"[""7210"",""7180""]",0.186170213,"[""7180""]",0.343085106,"[""7210""]",0.231382979,0.54263566
"[""7210"",""7270""]",0.194148936,"[""7210""]",0.231382979,"[""7270""]",0.321808511,0.839080458
"[""7210"",""7270""]",0.194148936,"[""7270""]",0.321808511,"[""7210""]",0.231382979,0.603305784
"[""7210"",""7240""]",0.17287234,"[""7210""]",0.231382979,"[""7240""]",0.228723404,0.747126434
"[""7210"",""7240""]",0.17287234,"[""7240""]",0.228723404,"[""7210""]",0.231382979,0.755813952
"[""7210"",""7260""]",0.159574468,"[""7210""]",0.231382979,"[""7260""]",0.212765957,0.689655171
"[""7210"",""7260""]",0.159574468,"[""7260""]",0.212765957,"[""7210""]",0.231382979,0.750000001
"[""7210"",""7290""]",0.167553191,"[""7210""]",0.231382979,"[""7290""]",0.276595745,0.724137928
"[""7210"",""7290""]",0.167553191,"[""7290""]",0.276595745,"[""7210""]",0.231382979,0.605769228
"[""7120"",""7170""]",0.154255319,"[""7120""]",0.175531915,"[""7170""]",0.369680851,0.878787877
"[""7120"",""7170""]",0.154255319,"[""7170""]",0.369680851,"[""7120""]",0.175531915,0.417266187
"[""7121"",""7151""]",0.159574468,"[""7121""]",0.279255319,"[""7151""]",0.311170213,0.571428571
"[""7121"",""7151""]",0.159574468,"[""7151""]",0.311170213,"[""7121""]",0.279255319,0.512820512
"[""7121"",""7231""]",0.151595745,"[""7121""]",0.279255319,"[""7231""]",0.281914894,0.542857144
"[""7121"",""7231""]",0.151595745,"[""7231""]",0.281914894,"[""7121""]",0.279255319,0.537735849
"[""7130"",""7150""]",0.17287234,"[""7130""]",0.244680851,"[""7150""]",0.247340426,0.706521738
"[""7130"",""7150""]",0.17287234,"[""7150""]",0.247340426,"[""7130""]",0.244680851,0.698924728
"[""7130"",""7170""]",0.215425532,"[""7130""]",0.244680851,"[""7170""]",0.369680851,0.880434783
"[""7130"",""7170""]",0.215425532,"[""7170""]",0.369680851,"[""7130""]",0.244680851,0.582733813
"[""7130"",""7180""]",0.188829787,"[""7130""]",0.244680851,"[""7180""]",0.343085106,0.77173913
"[""7130"",""7180""]",0.188829787,"[""7180""]",0.343085106,"[""7130""]",0.244680851,0.550387597
"[""7130"",""7270""]",0.180851064,"[""7130""]",0.244680851,"[""7270""]",0.321808511,0.739130436
"[""7130"",""7270""]",0.180851064,"[""7270""]",0.321808511,"[""7130""]",0.244680851,0.561983471
"[""7130"",""7240""]",0.159574468,"[""7130""]",0.244680851,"[""7240""]",0.228723404,0.652173913
"[""7130"",""7240""]",0.159574468,"[""7240""]",0.228723404,"[""7130""]",0.244680851,0.697674419
"[""7130"",""7230""]",0.156914894,"[""7130""]",0.244680851,"[""7230""]",0.218085106,0.64130435
"[""7130"",""7230""]",0.156914894,"[""7230""]",0.218085106,"[""7130""]",0.244680851,0.719512198
"[""7130"",""7290""]",0.164893617,"[""7130""]",0.244680851,"[""7290""]",0.276595745,0.673913044
"[""7130"",""7290""]",0.164893617,"[""7290""]",0.276595745,"[""7130""]",0.244680851,0.596153845
"[""7131"",""7151""]",0.167553191,"[""7131""]",0.271276596,"[""7151""]",0.311170213,0.617647056
"[""7131"",""7151""]",0.167553191,"[""7151""]",0.311170213,"[""7131""]",0.271276596,0.538461536
"[""7151"",""7171""]",0.170212766,"[""7151""]",0.311170213,"[""7171""]",0.265957447,0.547008547
"[""7151"",""7171""]",0.170212766,"[""7171""]",0.265957447,"[""7151""]",0.311170213,0.64
"[""7151"",""7191""]",0.175531915,"[""7151""]",0.311170213,"[""7191""]",0.252659574,0.564102564
"[""7151"",""7191""]",0.175531915,"[""7191""]",0.252659574,"[""7151""]",0.311170213,0.694736844
"[""7151"",""7181""]",0.159574468,"[""7151""]",0.311170213,"[""7181""]",0.234042553,0.512820512
"[""7151"",""7181""]",0.159574468,"[""7181""]",0.234042553,"[""7151""]",0.311170213,0.681818182
"[""7151"",""7211""]",0.154255319,"[""7151""]",0.311170213,"[""7211""]",0.239361702,0.495726495
"[""7151"",""7211""]",0.154255319,"[""7211""]",0.239361702,"[""7151""]",0.311170213,0.644444444
"[""7151"",""7241""]",0.188829787,"[""7151""]",0.311170213,"[""7241""]",0.292553191,0.606837606
"[""7151"",""7241""]",0.188829787,"[""7241""]",0.292553191,"[""7151""]",0.311170213,0.645454546
"[""7151"",""7261""]",0.164893617,"[""7151""]",0.311170213,"[""7261""]",0.265957447,0.529914529
"[""7151"",""7261""]",0.164893617,"[""7261""]",0.265957447,"[""7151""]",0.311170213,0.619999999
"[""7151"",""7291""]",0.151595745,"[""7151""]",0.311170213,"[""7291""]",0.247340426,0.487179488
"[""7151"",""7291""]",0.151595745,"[""7291""]",0.247340426,"[""7151""]",0.311170213,0.612903226
"[""7150"",""7170""]",0.210106383,"[""7150""]",0.247340426,"[""7170""]",0.369680851,0.849462364
"[""7150"",""7170""]",0.210106383,"[""7170""]",0.369680851,"[""7150""]",0.247340426,0.568345324
"[""7150"",""7190""]",0.167553191,"[""7150""]",0.247340426,"[""7190""]",0.239361702,0.677419352
"[""7150"",""7190""]",0.167553191,"[""7190""]",0.239361702,"[""7150""]",0.247340426,0.699999998
"[""7150"",""7180""]",0.212765957,"[""7150""]",0.247340426,"[""7180""]",0.343085106,0.86021505
"[""7150"",""7180""]",0.212765957,"[""7180""]",0.343085106,"[""7150""]",0.247340426,0.620155038
"[""7150"",""7270""]",0.188829787,"[""7150""]",0.247340426,"[""7270""]",0.321808511,0.763440858
"[""7150"",""7270""]",0.188829787,"[""7270""]",0.321808511,"[""7150""]",0.247340426,0.586776858
"[""7150"",""7240""]",0.164893617,"[""7150""]",0.247340426,"[""7240""]",0.228723404,0.666666665
"[""7150"",""7240""]",0.164893617,"[""7240""]",0.228723404,"[""7150""]",0.247340426,0.720930233
"[""7150"",""7230""]",0.156914894,"[""7150""]",0.247340426,"[""7230""]",0.218085106,0.634408602
"[""7150"",""7230""]",0.156914894,"[""7230""]",0.218085106,"[""7150""]",0.247340426,0.719512198
"[""7150"",""7290""]",0.180851064,"[""7150""]",0.247340426,"[""7290""]",0.276595745,0.731182795
"[""7150"",""7290""]",0.180851064,"[""7290""]",0.276595745,"[""7150""]",0.247340426,0.653846154
"[""7171"",""7181""]",0.170212766,"[""7171""]",0.265957447,"[""7181""]",0.234042553,0.64
"[""7171"",""7181""]",0.170212766,"[""7181""]",0.234042553,"[""7171""]",0.265957447,0.727272728
"[""7171"",""7241""]",0.154255319,"[""7171""]",0.265957447,"[""7241""]",0.292553191,0.579999999
"[""7171"",""7241""]",0.154255319,"[""7241""]",0.292553191,"[""7171""]",0.265957447,0.527272728
"[""7171"",""7271""]",0.154255319,"[""7171""]",0.265957447,"[""7271""]",0.27393617,0.579999999
"[""7171"",""7271""]",0.154255319,"[""7271""]",0.27393617,"[""7171""]",0.265957447,0.563106796
"[""7170"",""7190""]",0.215425532,"[""7170""]",0.369680851,"[""7190""]",0.239361702,0.582733813
"[""7170"",""7190""]",0.215425532,"[""7190""]",0.239361702,"[""7170""]",0.369680851,0.900000001
"[""7170"",""7180""]",0.289893617,"[""7170""]",0.369680851,"[""7180""]",0.343085106,0.784172662
"[""7170"",""7180""]",0.289893617,"[""7180""]",0.343085106,"[""7170""]",0.369680851,0.844961241
"[""7170"",""7270""]",0.25,"[""7170""]",0.369680851,"[""7270""]",0.321808511,0.676258993
"[""7170"",""7270""]",0.25,"[""7270""]",0.321808511,"[""7170""]",0.369680851,0.776859503
"[""7170"",""7240""]",0.186170213,"[""7170""]",0.369680851,"[""7240""]",0.228723404,0.503597123
"[""7170"",""7240""]",0.186170213,"[""7240""]",0.228723404,"[""7170""]",0.369680851,0.81395349
"[""7170"",""7260""]",0.159574468,"[""7170""]",0.369680851,"[""7260""]",0.212765957,0.431654676
"[""7170"",""7260""]",0.159574468,"[""7260""]",0.212765957,"[""7170""]",0.369680851,0.750000001
"[""7170"",""7230""]",0.191489362,"[""7170""]",0.369680851,"[""7230""]",0.218085106,0.517985612
"[""7170"",""7230""]",0.191489362,"[""7230""]",0.218085106,"[""7170""]",0.369680851,0.878048783
"[""7170"",""7280""]",0.159574468,"[""7170""]",0.369680851,"[""7280""]",0.210106383,0.431654676
"[""7170"",""7280""]",0.159574468,"[""7280""]",0.210106383,"[""7170""]",0.369680851,0.75949367
"[""7170"",""7290""]",0.218085106,"[""7170""]",0.369680851,"[""7290""]",0.276595745,0.589928057
"[""7170"",""7290""]",0.218085106,"[""7290""]",0.276595745,"[""7170""]",0.369680851,0.788461536
"[""7190"",""7180""]",0.215425532,"[""7190""]",0.239361702,"[""7180""]",0.343085106,0.900000001
"[""7190"",""7180""]",0.215425532,"[""7180""]",0.343085106,"[""7190""]",0.239361702,0.627906978
"[""7190"",""7270""]",0.186170213,"[""7190""]",0.239361702,"[""7270""]",0.321808511,0.777777779
"[""7190"",""7270""]",0.186170213,"[""7270""]",0.321808511,"[""7190""]",0.239361702,0.578512397
"[""7190"",""7290""]",0.178191489,"[""7190""]",0.239361702,"[""7290""]",0.276595745,0.744444443
"[""7190"",""7290""]",0.178191489,"[""7290""]",0.276595745,"[""7190""]",0.239361702,0.644230767
"[""7180"",""7270""]",0.242021277,"[""7180""]",0.343085106,"[""7270""]",0.321808511,0.705426359
"[""7180"",""7270""]",0.242021277,"[""7270""]",0.321808511,"[""7180""]",0.343085106,0.752066116
"[""7180"",""7240""]",0.175531915,"[""7180""]",0.343085106,"[""7240""]",0.228723404,0.511627908
"[""7180"",""7240""]",0.175531915,"[""7240""]",0.228723404,"[""7180""]",0.343085106,0.767441862
"[""7180"",""7260""]",0.154255319,"[""7180""]",0.343085106,"[""7260""]",0.212765957,0.449612403
"[""7180"",""7260""]",0.154255319,"[""7260""]",0.212765957,"[""7180""]",0.343085106,0.725000001
"[""7180"",""7230""]",0.17287234,"[""7180""]",0.343085106,"[""7230""]",0.218085106,0.503875968
"[""7180"",""7230""]",0.17287234,"[""7230""]",0.218085106,"[""7180""]",0.343085106,0.792682926
"[""7180"",""7280""]",0.162234043,"[""7180""]",0.343085106,"[""7280""]",0.210106383,0.472868219
"[""7180"",""7280""]",0.162234043,"[""7280""]",0.210106383,"[""7180""]",0.343085106,0.772151901
"[""7180"",""7290""]",0.210106383,"[""7180""]",0.343085106,"[""7290""]",0.276595745,0.612403102
"[""7180"",""7290""]",0.210106383,"[""7290""]",0.276595745,"[""7180""]",0.343085106,0.759615384
"[""7270"",""7240""]",0.199468085,"[""7270""]",0.321808511,"[""7240""]",0.228723404,0.61983471
"[""7270"",""7240""]",0.199468085,"[""7240""]",0.228723404,"[""7270""]",0.321808511,0.872093024
"[""7270"",""7250""]",0.151595745,"[""7270""]",0.321808511,"[""7250""]",0.191489362,0.471074381
"[""7270"",""7250""]",0.151595745,"[""7250""]",0.191489362,"[""7270""]",0.321808511,0.791666667
"[""7270"",""7260""]",0.178191489,"[""7270""]",0.321808511,"[""7260""]",0.212765957,0.553719007
"[""7270"",""7260""]",0.178191489,"[""7260""]",0.212765957,"[""7270""]",0.321808511,0.8375
"[""7270"",""7230""]",0.183510638,"[""7270""]",0.321808511,"[""7230""]",0.218085106,0.570247932
"[""7270"",""7230""]",0.183510638,"[""7230""]",0.218085106,"[""7270""]",0.321808511,0.841463415
"[""7270"",""7280""]",0.188829787,"[""7270""]",0.321808511,"[""7280""]",0.210106383,0.586776858
"[""7270"",""7280""]",0.188829787,"[""7280""]",0.210106383,"[""7270""]",0.321808511,0.898734176
"[""7270"",""7290""]",0.234042553,"[""7270""]",0.321808511,"[""7290""]",0.276595745,0.727272726
"[""7270"",""7290""]",0.234042553,"[""7290""]",0.276595745,"[""7270""]",0.321808511,0.846153844
"[""7211"",""7241""]",0.164893617,"[""7211""]",0.239361702,"[""7241""]",0.292553191,0.688888889
"[""7211"",""7241""]",0.164893617,"[""7241""]",0.292553191,"[""7211""]",0.239361702,0.563636365
"[""7211"",""7261""]",0.159574468,"[""7211""]",0.239361702,"[""7261""]",0.265957447,0.666666667
"[""7211"",""7261""]",0.159574468,"[""7261""]",0.265957447,"[""7211""]",0.239361702,0.599999999
"[""7211"",""7271""]",0.156914894,"[""7211""]",0.239361702,"[""7271""]",0.27393617,0.655555558
"[""7211"",""7271""]",0.156914894,"[""7271""]",0.27393617,"[""7211""]",0.239361702,0.572815536
"[""7281"",""7241""]",0.154255319,"[""7281""]",0.255319149,"[""7241""]",0.292553191,0.604166666
"[""7281"",""7241""]",0.154255319,"[""7241""]",0.292553191,"[""7281""]",0.255319149,0.527272728
"[""7281"",""7261""]",0.151595745,"[""7281""]",0.255319149,"[""7261""]",0.265957447,0.593750001
"[""7281"",""7261""]",0.151595745,"[""7261""]",0.265957447,"[""7281""]",0.255319149,0.570000001
"[""7281"",""7271""]",0.151595745,"[""7281""]",0.255319149,"[""7271""]",0.27393617,0.593750001
"[""7281"",""7271""]",0.151595745,"[""7271""]",0.27393617,"[""7281""]",0.255319149,0.55339806
"[""7240"",""7260""]",0.162234043,"[""7240""]",0.228723404,"[""7260""]",0.212765957,0.709302328
"[""7240"",""7260""]",0.162234043,"[""7260""]",0.212765957,"[""7240""]",0.228723404,0.762500004
"[""7240"",""7230""]",0.156914894,"[""7240""]",0.228723404,"[""7230""]",0.218085106,0.686046514
"[""7240"",""7230""]",0.156914894,"[""7230""]",0.218085106,"[""7240""]",0.228723404,0.719512198
"[""7240"",""7290""]",0.180851064,"[""7240""]",0.228723404,"[""7290""]",0.276595745,0.790697676
"[""7240"",""7290""]",0.180851064,"[""7290""]",0.276595745,"[""7240""]",0.228723404,0.653846154
"[""7241"",""7231""]",0.175531915,"[""7241""]",0.292553191,"[""7231""]",0.281914894,0.600000001
"[""7241"",""7231""]",0.175531915,"[""7231""]",0.281914894,"[""7241""]",0.292553191,0.622641509
"[""7241"",""7251""]",0.156914894,"[""7241""]",0.292553191,"[""7251""]",0.252659574,0.536363639
"[""7241"",""7251""]",0.156914894,"[""7251""]",0.252659574,"[""7241""]",0.292553191,0.621052634
